iteration: 1 	 delta_type: MSE 	 fold: 1 	 epoch: 3. loss: 12977998.672615329 	 train err: 0.8134380793906058 	 val err: 3.1559762225433245 	 lam: 0.1 	 inner_dim: 5 
iteration: 1 	 delta_type: MSE 	 fold: 1 	 epoch: 4. loss: 10699541.624554683 	 train err: 0.6609249025684859 	 val err: 3.680958545167643 	 lam: 0.1 	 inner_dim: 5 
iteration: 1 	 delta_type: MSE 	 fold: 1 	 epoch: 5. loss: 9204497.226786314 	 train err: 0.5609925471939164 	 val err: 3.986075886006873 	 lam: 0.1 	 inner_dim: 5 
iteration: 1 	 delta_type: MSE 	 fold: 1 	 epoch: 6. loss: 8325012.775153083 	 train err: 0.5020745592631872 	 val err: 4.439555445356142 	 lam: 0.1 	 inner_dim: 5 
iteration: 1 	 delta_type: MSE 	 fold: 1 	 epoch: 7. loss: 8001113.190921009 	 train err: 0.48053594178058495 	 val err: 4.727342463188595 	 lam: 0.1 	 inner_dim: 5 
iteration: 1 	 delta_type: MSE 	 fold: 1 	 epoch: 8. loss: 7727598.005981708 	 train err: 0.4626135109403706 	 val err: 5.062702284046411 	 lam: 0.1 	 inner_dim: 5 
iteration: 1 	 delta_type: MSE 	 fold: 1 	 epoch: 9. loss: 7490327.30981465 	 train err: 0.44783462239056165 	 val err: 5.351456629136385 	 lam: 0.1 	 inner_dim: 5 
iteration: 1 	 delta_type: MSE 	 fold: 1 	 epoch: 10. loss: 7312672.230488903 	 train err: 0.4369214597720067 	 val err: 5.704723860089239 	 lam: 0.1 	 inner_dim: 5 
iteration: 1 	 delta_type: MSE 	 fold: 1 	 epoch: 1. loss: 37325576.95012952 	 train err: 2.1461128214369816 	 val err: 6.540336883784234 	 lam: 1 	 inner_dim: 5 
iteration: 1 	 delta_type: MSE 	 fold: 1 	 epoch: 2. loss: 18971777.535322584 	 train err: 0.990186236059908 	 val err: 3.3744613228600957 	 lam: 1 	 inner_dim: 5 
iteration: 1 	 delta_type: MSE 	 fold: 1 	 epoch: 3. loss: 15196737.18303323 	 train err: 0.8107166352618981 	 val err: 3.199461177431466 	 lam: 1 	 inner_dim: 5 
iteration: 1 	 delta_type: MSE 	 fold: 1 	 epoch: 4. loss: 11686371.889842594 	 train err: 0.6264422574573113 	 val err: 3.540370160682669 	 lam: 1 	 inner_dim: 5 
iteration: 1 	 delta_type: MSE 	 fold: 1 	 epoch: 5. loss: 10293544.976952404 	 train err: 0.5448054611657405 	 val err: 4.035070546273393 	 lam: 1 	 inner_dim: 5 
