iteration: 1 	 delta_type: MAE 	 fold: 1 	 epoch: 3. loss: 12514056.943143368 	 train err: 0.7855672122171018 	 val err: 2.585192728661175 	 lam: 0.1 	 inner_dim: 5 
iteration: 1 	 delta_type: MAE 	 fold: 1 	 epoch: 4. loss: 11377971.734413465 	 train err: 0.7115849421697056 	 val err: 2.42975423357133 	 lam: 0.1 	 inner_dim: 5 
iteration: 1 	 delta_type: MAE 	 fold: 1 	 epoch: 5. loss: 10866783.424765427 	 train err: 0.6782770405691836 	 val err: 2.375796452719368 	 lam: 0.1 	 inner_dim: 5 
iteration: 1 	 delta_type: MAE 	 fold: 1 	 epoch: 6. loss: 10539679.472259045 	 train err: 0.6569332165427951 	 val err: 2.3546660729259874 	 lam: 0.1 	 inner_dim: 5 
iteration: 1 	 delta_type: MAE 	 fold: 1 	 epoch: 7. loss: 10233986.02828614 	 train err: 0.6369763877945546 	 val err: 2.35369577599205 	 lam: 0.1 	 inner_dim: 5 
iteration: 1 	 delta_type: MAE 	 fold: 1 	 epoch: 8. loss: 9930144.304451624 	 train err: 0.6171425461494561 	 val err: 2.374475113324376 	 lam: 0.1 	 inner_dim: 5 
iteration: 1 	 delta_type: MAE 	 fold: 1 	 epoch: 9. loss: 9586817.532624085 	 train err: 0.5946659010632522 	 val err: 2.3942839276746652 	 lam: 0.1 	 inner_dim: 5 
iteration: 1 	 delta_type: MAE 	 fold: 1 	 epoch: 10. loss: 9316369.966727734 	 train err: 0.576885221053749 	 val err: 2.4145928357353457 	 lam: 0.1 	 inner_dim: 5 
iteration: 1 	 delta_type: MAE 	 fold: 1 	 epoch: 1. loss: 23074751.376691204 	 train err: 1.2207345374474807 	 val err: 3.6825009409195864 	 lam: 1 	 inner_dim: 5 
iteration: 1 	 delta_type: MAE 	 fold: 1 	 epoch: 2. loss: 17759544.41475566 	 train err: 0.9037123645945234 	 val err: 2.847413848044857 	 lam: 1 	 inner_dim: 5 
iteration: 1 	 delta_type: MAE 	 fold: 1 	 epoch: 3. loss: 14633125.539165655 	 train err: 0.7556406194263412 	 val err: 2.5140228946656995 	 lam: 1 	 inner_dim: 5 
iteration: 1 	 delta_type: MAE 	 fold: 1 	 epoch: 4. loss: 12987089.866949717 	 train err: 0.6993400238279037 	 val err: 2.4082560455596758 	 lam: 1 	 inner_dim: 5 
iteration: 1 	 delta_type: MAE 	 fold: 1 	 epoch: 5. loss: 11790659.803173542 	 train err: 0.6602809125437364 	 val err: 2.379382217943529 	 lam: 1 	 inner_dim: 5 
iteration: 1 	 delta_type: MAE 	 fold: 1 	 epoch: 6. loss: 10635132.421269258 	 train err: 0.6075843049525492 	 val err: 2.377842041930363 	 lam: 1 	 inner_dim: 5 
iteration: 1 	 delta_type: MAE 	 fold: 1 	 epoch: 7. loss: 9970228.330115318 	 train err: 0.5704273103970986 	 val err: 2.393619266637192 	 lam: 1 	 inner_dim: 5 
iteration: 1 	 delta_type: MAE 	 fold: 1 	 epoch: 8. loss: 9646112.965783756 	 train err: 0.5501148110898543 	 val err: 2.4093804574890108 	 lam: 1 	 inner_dim: 5 
iteration: 1 	 delta_type: MAE 	 fold: 1 	 epoch: 9. loss: 9449665.66148758 	 train err: 0.5373140445771155 	 val err: 2.4204147841436523 	 lam: 1 	 inner_dim: 5 
iteration: 1 	 delta_type: MAE 	 fold: 1 	 epoch: 10. loss: 9297469.638083776 	 train err: 0.5266874602651803 	 val err: 2.4313954434822906 	 lam: 1 	 inner_dim: 5 
iteration: 1 	 delta_type: MAE 	 fold: 2 	 epoch: 1. loss: 18738458.908277404 	 train err: 1.2167552928566552 	 val err: 3.6958174607391348 	 lam: 0.0001 	 inner_dim: 5 
iteration: 1 	 delta_type: MAE 	 fold: 2 	 epoch: 2. loss: 14717491.778574705 	 train err: 0.955653968419332 	 val err: 2.97448738836218 	 lam: 0.0001 	 inner_dim: 5 
iteration: 1 	 delta_type: MAE 	 fold: 2 	 epoch: 3. loss: 11734544.099997044 	 train err: 0.7619556309126879 	 val err: 2.546535596721575 	 lam: 0.0001 	 inner_dim: 5 
iteration: 1 	 delta_type: MAE 	 fold: 2 	 epoch: 4. loss: 10855040.253582874 	 train err: 0.7048443175365966 	 val err: 2.428369104319083 	 lam: 0.0001 	 inner_dim: 5 
iteration: 1 	 delta_type: MAE 	 fold: 2 	 epoch: 5. loss: 10415352.901610136 	 train err: 0.6762925500665856 	 val err: 2.3819094083951664 	 lam: 0.0001 	 inner_dim: 5 
iteration: 1 	 delta_type: MAE 	 fold: 2 	 epoch: 6. loss: 10059947.946932158 	 train err: 0.6532134205034389 	 val err: 2.3636443887788134 	 lam: 0.0001 	 inner_dim: 5 
iteration: 1 	 delta_type: MAE 	 fold: 2 	 epoch: 7. loss: 9832675.518822512 	 train err: 0.6384547211798651 	 val err: 2.363541980022997 	 lam: 0.0001 	 inner_dim: 5 
iteration: 1 	 delta_type: MAE 	 fold: 2 	 epoch: 8. loss: 9556296.49985393 	 train err: 0.620506907834563 	 val err: 2.377274695967931 	 lam: 0.0001 	 inner_dim: 5 
iteration: 1 	 delta_type: MAE 	 fold: 2 	 epoch: 9. loss: 9312548.980217535 	 train err: 0.6046781084724886 	 val err: 2.3977486424880525 	 lam: 0.0001 	 inner_dim: 5 
iteration: 1 	 delta_type: MAE 	 fold: 2 	 epoch: 10. loss: 9071424.467087189 	 train err: 0.5890194875018885 	 val err: 2.4182941747713707 	 lam: 0.0001 	 inner_dim: 5 
iteration: 1 	 delta_type: MAE 	 fold: 2 	 epoch: 1. loss: 19137929.80830853 	 train err: 1.2424460159869581 	 val err: 3.7795679157213904 	 lam: 0.001 	 inner_dim: 5 
iteration: 1 	 delta_type: MAE 	 fold: 2 	 epoch: 2. loss: 13710281.542110363 	 train err: 0.890007013343459 	 val err: 2.833566573994957 	 lam: 0.001 	 inner_dim: 5 
iteration: 1 	 delta_type: MAE 	 fold: 2 	 epoch: 3. loss: 11481904.692890206 	 train err: 0.7453005275352306 	 val err: 2.5105965369785608 	 lam: 0.001 	 inner_dim: 5 
