iteration: 1 	 delta_type: MSE 	 fold: 1 	 epoch: 3. loss: 245949.06441290752 	 train err: 0.013613927681032955 	 val err: 0.016059175200672543 	 lam: 0.1 	 inner_dim: 5 
iteration: 1 	 delta_type: MSE 	 fold: 1 	 epoch: 4. loss: 228071.66182760813 	 train err: 0.011632977990023255 	 val err: 0.01712662308265322 	 lam: 0.1 	 inner_dim: 5 
iteration: 1 	 delta_type: MSE 	 fold: 1 	 epoch: 5. loss: 225441.385587739 	 train err: 0.011181832820226558 	 val err: 0.01733047986302976 	 lam: 0.1 	 inner_dim: 5 
iteration: 1 	 delta_type: MSE 	 fold: 1 	 epoch: 6. loss: 224522.08227926187 	 train err: 0.011045300087127395 	 val err: 0.017241322910955294 	 lam: 0.1 	 inner_dim: 5 
iteration: 1 	 delta_type: MSE 	 fold: 1 	 epoch: 7. loss: 224122.37368181546 	 train err: 0.010988411034533472 	 val err: 0.017212023134704078 	 lam: 0.1 	 inner_dim: 5 
iteration: 1 	 delta_type: MSE 	 fold: 1 	 epoch: 8. loss: 223864.5016693879 	 train err: 0.01095397763478168 	 val err: 0.017174840731817534 	 lam: 0.1 	 inner_dim: 5 
iteration: 1 	 delta_type: MSE 	 fold: 1 	 epoch: 9. loss: 223673.7135350781 	 train err: 0.010925885416238838 	 val err: 0.017145001542522433 	 lam: 0.1 	 inner_dim: 5 
iteration: 1 	 delta_type: MSE 	 fold: 1 	 epoch: 10. loss: 223433.0023487698 	 train err: 0.01089403830186817 	 val err: 0.01706695088788088 	 lam: 0.1 	 inner_dim: 5 
iteration: 1 	 delta_type: MSE 	 fold: 1 	 epoch: 1. loss: 4792449.569247409 	 train err: 0.033572082418662934 	 val err: 0.03339378132396358 	 lam: 1 	 inner_dim: 5 
iteration: 1 	 delta_type: MSE 	 fold: 1 	 epoch: 2. loss: 361396.67763352033 	 train err: 0.019585774521657166 	 val err: 0.019967618235276003 	 lam: 1 	 inner_dim: 5 
iteration: 1 	 delta_type: MSE 	 fold: 1 	 epoch: 3. loss: 310684.0170589245 	 train err: 0.0190453205831688 	 val err: 0.01934868532656397 	 lam: 1 	 inner_dim: 5 
